rank_in_month,category,month,revenue,category_pt,category_en
4,bed_bath_table,2/1/2017,16282.73,cama_mesa_banho,bed_bath_table
5,bed_bath_table,3/1/2017,25773.02,cama_mesa_banho,bed_bath_table
5,bed_bath_table,12/1/2017,50505.85,cama_mesa_banho,bed_bath_table
5,bed_bath_table,2/1/2018,60690.88,cama_mesa_banho,bed_bath_table
5,bed_bath_table,3/1/2018,69256.39,cama_mesa_banho,bed_bath_table
5,bed_bath_table,7/1/2018,55082.82,cama_mesa_banho,bed_bath_table
6,bed_bath_table,5/1/2017,33346.45,cama_mesa_banho,bed_bath_table
7,baby,1/1/2017,6397.87,bebes,baby
7,baby,4/1/2018,49821.84,bebes,baby
8,baby,3/1/2018,41985.74,bebes,baby
9,baby,6/1/2018,30755.12,bebes,baby
10,baby,10/1/2016,1630.16,bebes,baby
10,baby,9/1/2017,24366.3,bebes,baby
10,baby,5/1/2018,34003.6,bebes,baby
4,toys,10/1/2016,4465.09,brinquedos,toys
4,toys,12/1/2017,57194.14,brinquedos,toys
6,toys,11/1/2017,64320.89,brinquedos,toys
7,toys,9/1/2017,31399.22,brinquedos,toys
8,toys,5/1/2017,22626.95,brinquedos,toys
8,toys,7/1/2017,24511.72,brinquedos,toys
8,toys,10/1/2017,34633.01,brinquedos,toys
5,consoles_games,10/1/2016,3882.26,consoles_games,consoles_games
8,consoles_games,1/1/2017,5954.2,consoles_games,consoles_games
9,air_conditioning,10/1/2016,1707.09,climatizacao,air_conditioning
1,cool_stuff,6/1/2017,38244.5,cool_stuff,cool_stuff
4,cool_stuff,7/1/2017,37506.76,cool_stuff,cool_stuff
4,cool_stuff,8/1/2017,41720.03,cool_stuff,cool_stuff
4,cool_stuff,10/1/2017,44910.01,cool_stuff,cool_stuff
5,cool_stuff,2/1/2017,13323.6,cool_stuff,cool_stuff
5,cool_stuff,5/1/2017,33696.47,cool_stuff,cool_stuff
6,cool_stuff,1/1/2017,7784.87,cool_stuff,cool_stuff
6,cool_stuff,4/1/2017,21822.08,cool_stuff,cool_stuff
6,cool_stuff,9/1/2017,38210.34,cool_stuff,cool_stuff
7,cool_stuff,12/1/2017,39011.54,cool_stuff,cool_stuff
8,cool_stuff,3/1/2017,21095.21,cool_stuff,cool_stuff
8,cool_stuff,11/1/2017,56295.24,cool_stuff,cool_stuff
8,cool_stuff,1/1/2018,39739.7,cool_stuff,cool_stuff
9,cool_stuff,2/1/2018,31002.21,cool_stuff,cool_stuff
9,cool_stuff,3/1/2018,38353.22,cool_stuff,cool_stuff
9,cool_stuff,7/1/2018,30551.61,cool_stuff,cool_stuff
10,cool_stuff,4/1/2018,35202.4,cool_stuff,cool_stuff
4,small_appliances,4/1/2017,23253.98,eletroportateis,small_appliances
1,sports_leisure,4/1/2017,24864.33,esporte_lazer,sports_leisure
1,sports_leisure,1/1/2018,91574.33,esporte_lazer,sports_leisure
2,sports_leisure,3/1/2017,27001.59,esporte_lazer,sports_leisure
2,sports_leisure,7/1/2017,38813.41,esporte_lazer,sports_leisure
2,sports_leisure,10/1/2017,49751.45,esporte_lazer,sports_leisure
3,sports_leisure,1/1/2017,9717.62,esporte_lazer,sports_leisure
3,sports_leisure,2/1/2017,16372.16,esporte_lazer,sports_leisure
3,sports_leisure,8/1/2017,41732.26,esporte_lazer,sports_leisure
3,sports_leisure,12/1/2017,59792.66,esporte_lazer,sports_leisure
3,sports_leisure,2/1/2018,75863.95,esporte_lazer,sports_leisure
4,sports_leisure,5/1/2017,36163.5,esporte_lazer,sports_leisure
4,sports_leisure,6/1/2017,32898.33,esporte_lazer,sports_leisure
4,sports_leisure,9/1/2017,50167.48,esporte_lazer,sports_leisure
4,sports_leisure,3/1/2018,85292.17,esporte_lazer,sports_leisure
4,sports_leisure,4/1/2018,67528.08,esporte_lazer,sports_leisure
4,sports_leisure,7/1/2018,55292.68,esporte_lazer,sports_leisure
5,sports_leisure,11/1/2017,64874.05,esporte_lazer,sports_leisure
5,sports_leisure,5/1/2018,59664.11,esporte_lazer,sports_leisure
5,sports_leisure,6/1/2018,45851.01,esporte_lazer,sports_leisure
5,sports_leisure,8/1/2018,51500.16,esporte_lazer,sports_leisure
7,sports_leisure,10/1/2016,3333.64,esporte_lazer,sports_leisure
1,fashion_bags_accessories,12/1/2016,10.9,fashion_bolsas_e_acessorios,fashion_bags_accessories
4,garden_tools,1/1/2017,8152.75,ferramentas_jardim,garden_tools
6,garden_tools,3/1/2017,23747.15,ferramentas_jardim,garden_tools
7,garden_tools,2/1/2017,13144.61,ferramentas_jardim,garden_tools
8,garden_tools,4/1/2017,20809.28,ferramentas_jardim,garden_tools
9,garden_tools,8/1/2017,24269.4,ferramentas_jardim,garden_tools
9,garden_tools,11/1/2017,45972.18,ferramentas_jardim,garden_tools
9,garden_tools,5/1/2018,37863.18,ferramentas_jardim,garden_tools
10,garden_tools,5/1/2017,20693.46,ferramentas_jardim,garden_tools
10,garden_tools,7/1/2017,20067.05,ferramentas_jardim,garden_tools
10,garden_tools,10/1/2017,25978.74,ferramentas_jardim,garden_tools
10,garden_tools,2/1/2018,26838.03,ferramentas_jardim,garden_tools
1,computers_accessories,3/1/2017,28624.6,informatica_acessorios,computers_accessories
1,computers_accessories,2/1/2018,100855.23,informatica_acessorios,computers_accessories
2,computers_accessories,5/1/2017,45634.78,informatica_acessorios,computers_accessories
2,computers_accessories,6/1/2017,37007.08,informatica_acessorios,computers_accessories
2,computers_accessories,1/1/2018,83257.45,informatica_acessorios,computers_accessories
3,computers_accessories,7/1/2017,38709,informatica_acessorios,computers_accessories
3,computers_accessories,3/1/2018,85673.53,informatica_acessorios,computers_accessories
4,computers_accessories,11/1/2017,72656,informatica_acessorios,computers_accessories
5,computers_accessories,10/1/2017,44022.09,informatica_acessorios,computers_accessories
5,computers_accessories,4/1/2018,59651.2,informatica_acessorios,computers_accessories
7,computers_accessories,8/1/2017,35025.72,informatica_acessorios,computers_accessories
7,computers_accessories,5/1/2018,51515.73,informatica_acessorios,computers_accessories
7,computers_accessories,6/1/2018,42326.45,informatica_acessorios,computers_accessories
8,computers_accessories,12/1/2017,37880.65,informatica_acessorios,computers_accessories
8,computers_accessories,7/1/2018,41902.79,informatica_acessorios,computers_accessories
8,computers_accessories,8/1/2018,40293.93,informatica_acessorios,computers_accessories
9,computers_accessories,2/1/2017,11972.59,informatica_acessorios,computers_accessories
9,computers_accessories,4/1/2017,20691.06,informatica_acessorios,computers_accessories
9,computers_accessories,9/1/2017,28930.98,informatica_acessorios,computers_accessories
1,kitchen_dining_laundry_garden_furniture,9/1/2018,145,moveis_cozinha_area_de_servico_jantar_e_jardim,kitchen_dining_laundry_garden_furniture
1,furniture_decor,10/1/2016,5807.89,moveis_decoracao,furniture_decor
1,furniture_decor,1/1/2017,13521.31,moveis_decoracao,furniture_decor
2,furniture_decor,9/1/2016,72.89,moveis_decoracao,furniture_decor
2,furniture_decor,2/1/2017,20986.1,moveis_decoracao,furniture_decor
6,furniture_decor,8/1/2017,35511.73,moveis_decoracao,furniture_decor
6,furniture_decor,1/1/2018,55438.18,moveis_decoracao,furniture_decor
6,furniture_decor,3/1/2018,52244.04,moveis_decoracao,furniture_decor
6,furniture_decor,4/1/2018,56793.01,moveis_decoracao,furniture_decor
6,furniture_decor,5/1/2018,54260.98,moveis_decoracao,furniture_decor
6,furniture_decor,7/1/2018,45715.49,moveis_decoracao,furniture_decor
7,furniture_decor,3/1/2017,23477.63,moveis_decoracao,furniture_decor
7,furniture_decor,4/1/2017,21690.42,moveis_decoracao,furniture_decor
7,furniture_decor,5/1/2017,24028.51,moveis_decoracao,furniture_decor
7,furniture_decor,7/1/2017,24751.92,moveis_decoracao,furniture_decor
7,furniture_decor,11/1/2017,63223.97,moveis_decoracao,furniture_decor
7,furniture_decor,2/1/2018,38646.52,moveis_decoracao,furniture_decor
7,furniture_decor,8/1/2018,41380.15,moveis_decoracao,furniture_decor
8,furniture_decor,9/1/2017,30838.69,moveis_decoracao,furniture_decor
8,furniture_decor,6/1/2018,42190.22,moveis_decoracao,furniture_decor
9,furniture_decor,10/1/2017,30227.51,moveis_decoracao,furniture_decor
9,furniture_decor,12/1/2017,32011.75,moveis_decoracao,furniture_decor
10,furniture_decor,6/1/2017,16943.58,moveis_decoracao,furniture_decor
10,office_furniture,2/1/2017,11805.98,moveis_escritorio,office_furniture
7,stationery,1/1/2018,41023.91,papelaria,stationery
1,computers,9/1/2017,52878.88,pcs,computers
7,computers,10/1/2017,40393.92,pcs,computers
8,computers,8/1/2017,33700,pcs,computers
2,perfumery,10/1/2016,5688.7,perfumaria,perfumery
8,perfumery,6/1/2017,24438.1,perfumaria,perfumery
9,perfumery,3/1/2017,19808.13,perfumaria,perfumery
10,perfumery,1/1/2017,5112.6,perfumaria,perfumery
10,perfumery,4/1/2017,19891.11,perfumaria,perfumery
10,perfumery,12/1/2017,27864.43,perfumaria,perfumery
10,perfumery,6/1/2018,27335.86,perfumaria,perfumery
10,perfumery,8/1/2018,25017.69,perfumaria,perfumery
1,watches_gifts,10/1/2017,65959.53,relogios_presentes,watches_gifts
1,watches_gifts,11/1/2017,97724.57,relogios_presentes,watches_gifts
1,watches_gifts,12/1/2017,71727.62,relogios_presentes,watches_gifts
1,watches_gifts,3/1/2018,97861.08,relogios_presentes,watches_gifts
1,watches_gifts,4/1/2018,92658.57,relogios_presentes,watches_gifts
1,watches_gifts,5/1/2018,123872.66,relogios_presentes,watches_gifts
2,watches_gifts,6/1/2018,86885.56,relogios_presentes,watches_gifts
2,watches_gifts,7/1/2018,96212.59,relogios_presentes,watches_gifts
2,watches_gifts,8/1/2018,72277.06,relogios_presentes,watches_gifts
3,watches_gifts,3/1/2017,26770.38,relogios_presentes,watches_gifts
3,watches_gifts,4/1/2017,23487.78,relogios_presentes,watches_gifts
3,watches_gifts,5/1/2017,37973.9,relogios_presentes,watches_gifts
4,watches_gifts,1/1/2018,75621.24,relogios_presentes,watches_gifts
4,watches_gifts,2/1/2018,63462.18,relogios_presentes,watches_gifts
5,watches_gifts,1/1/2017,8086.52,relogios_presentes,watches_gifts
5,watches_gifts,7/1/2017,36804.56,relogios_presentes,watches_gifts
5,watches_gifts,8/1/2017,36419.2,relogios_presentes,watches_gifts
5,watches_gifts,9/1/2017,47135.6,relogios_presentes,watches_gifts
6,watches_gifts,10/1/2016,3360.24,relogios_presentes,watches_gifts
7,watches_gifts,6/1/2017,28948.63,relogios_presentes,watches_gifts
3,telephony,9/1/2016,59.5,telefonia,telephony
9,telephony,8/1/2018,37541.89,telefonia,telephony
10,telephony,7/1/2018,26939.41,telefonia,telephony
3,housewares,7/1/2018,63409.14,utilidades_domesticas,housewares
4,housewares,5/1/2018,63003.57,utilidades_domesticas,housewares
4,housewares,6/1/2018,56825.45,utilidades_domesticas,housewares
4,housewares,8/1/2018,60202.67,utilidades_domesticas,housewares
8,housewares,2/1/2017,12659.67,utilidades_domesticas,housewares
8,housewares,2/1/2018,35448.56,utilidades_domesticas,housewares
9,housewares,5/1/2017,21726.48,utilidades_domesticas,housewares
9,housewares,6/1/2017,23623.71,utilidades_domesticas,housewares
9,housewares,7/1/2017,20874.3,utilidades_domesticas,housewares
9,housewares,1/1/2018,38078.31,utilidades_domesticas,housewares
9,housewares,4/1/2018,45405.96,utilidades_domesticas,housewares
10,housewares,8/1/2017,23733.94,utilidades_domesticas,housewares
10,housewares,3/1/2018,37514.44,utilidades_domesticas,housewares
